id,timestamp,event,url,canonical_id,selector,xpath,type,session_id,boundary,sequence_index,duration_since_prev
1,1767167834066,scroll,https://github.com/,element:unknown,,,generic,S001,0,1,0
2,1767167834475,scroll,https://github.com/,element:unknown,,,generic,S001,0,2,409
3,1767167835643,focus,https://github.com/,button:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button,button,S001,0,3,1168
4,1767167835859,click,https://github.com/,generic_element:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible > span.Button-content > span.Button-label > img.avatar,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button/span/span/img,generic_element,S001,0,4,216
5,1767167835911,blur,https://github.com/,button:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button,button,S001,0,5,52
6,1767167835911,focus,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S001,0,6,0
7,1767167836255,blur,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S001,0,7,344
8,1767167837336,focus,https://github.com/,link:r1e,#:r1e:,/html/body/div/div/div/div/div/div/ul/li/a,link,S001,0,8,1081
9,1767167837556,click,https://github.com/,generic_element:r1e_label,#:r1e:--label,/html/body/div/div/div/div/div/div/ul/li/a/span/span,generic_element,S001,0,9,220
10,1767167838310,blur,https://github.com/,link:r1e,#:r1e:,/html/body/div/div/div/div/div/div/ul/li/a,link,S001,0,10,754
11,1767167838315,visibility_change,https://github.com/,element:unknown,,,generic,S001,0,11,5
12,1767168051965,focus,https://github.com/,button:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button,button,S002,1,1,213650
13,1767168052184,click,https://github.com/,generic_element:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible > span.Button-content > span.Button-label > img.avatar,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button/span/span/img,generic_element,S002,0,2,219
14,1767168052238,blur,https://github.com/,button:unknown,body.logged-in > div.logged-in > div.position-relative > header.AppHeader > div.AppHeader-globalBar > div.AppHeader-globalBar-end > div.AppHeader-user > deferred-side-panel > include-fragment > react-partial-anchor > button.Button--invisible,/html/body/div/div/header/div/div/div/deferred-side-panel/include-fragment/react-partial-anchor/button,button,S002,0,3,54
15,1767168052239,focus,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,4,1
16,1767168053092,blur,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,5,853
17,1767168055278,focus,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,6,2186
18,1767168055488,click,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,7,210
19,1767168055515,blur,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,8,27
20,1767168055515,focus,https://github.com/,generic_element:r21,#:r21:,/html/body/div/div/div/div/div/ul/li/ul/li,generic_element,S002,0,9,0
21,1767168056920,click,https://github.com/,generic_element:r21_label,#:r21:--label,/html/body/div/div/div/div/div/ul/li/ul/li/div/span/div/span,generic_element,S002,0,10,1405
22,1767168056930,blur,https://github.com/,generic_element:r21,#:r21:,/html/body/div/div/div/div/div/ul/li/ul/li,generic_element,S002,0,11,10
23,1767168056930,focus,https://github.com/,button:r16,#:r16:,/html/body/div/div/div/div/div/button,button,S002,0,12,0
24,1767168058114,visibility_change,https://github.com/,element:unknown,,,generic,S002,0,13,1184
25,1767168061866,focus,https://github.com/,link:autopattern_autopatt,body.logged-in > div.logged-in > div.application-main > div.color-bg-default > div.d-md-flex > aside.feed-left-sidebar > div.dashboard-sidebar > div.top-0 > loading-context.loading-context > div > div.px-4 > div.Details > div.js-repos-container > ul.list-style-none > li.public > div.width-full > div.wb-break-word > a.color-fg-default,/html/body/div/div/div/div/aside/div/div/loading-context/div/div/div/div/ul/li/div/div/a,link,S002,0,14,3752
26,1767168062079,click,https://github.com/,link:autopattern_autopatt,body.logged-in > div.logged-in > div.application-main > div.color-bg-default > div.d-md-flex > aside.feed-left-sidebar > div.dashboard-sidebar > div.top-0 > loading-context.loading-context > div > div.px-4 > div.Details > div.js-repos-container > ul.list-style-none > li.public > div.width-full > div.wb-break-word > a.color-fg-default,/html/body/div/div/div/div/aside/div/div/loading-context/div/div/div/div/ul/li/div/div/a,link,S002,0,15,213
27,1767168063461,blur,https://github.com/,link:autopattern_autopatt,body.logged-in > div.logged-in > div.application-main > div.color-bg-default > div.d-md-flex > aside.feed-left-sidebar > div.dashboard-sidebar > div.top-0 > loading-context.loading-context > div > div.px-4 > div.Details > div.js-repos-container > ul.list-style-none > li.public > div.width-full > div.wb-break-word > a.color-fg-default,/html/body/div/div/div/div/aside/div/div/loading-context/div/div/div/div/ul/li/div/div/a,link,S002,0,16,1382
28,1767168063464,visibility_change,https://github.com/,element:unknown,,,generic,S002,0,17,3
29,1767168065466,focus,https://github.com/autopattern/autopattern,link:10_commits,body.logged-in > div.logged-in > div.application-main > div > main > turbo-frame > div.repository-content > div.clearfix > div > div.Layout > div.Layout-main > react-partial.loaded > div > div.OverviewContent-module__Box--uNd1J > div.OverviewContent-module__Box_11--Tqhu2 > div > table.Table-module__Box--KyMHK > tbody > tr.DirectoryContent-module__Box_3--zI0N1 > td.bgColor-muted > div.LatestCommit-module__Box--Fimpo > div.d-flex > div.d-flex > a.prc-Button-ButtonBase-9n-Xk,/html/body/div/div/div/main/turbo-frame/div/div/div/div/div/react-partial/div/div/div/div/table/tbody/tr/td/div/div/div/a,link,S003,1,1,2002
30,1767168065678,click,https://github.com/autopattern/autopattern,generic_element:10_commits,body.logged-in > div.logged-in > div.application-main > div > main > turbo-frame > div.repository-content > div.clearfix > div > div.Layout > div.Layout-main > react-partial.loaded > div > div.OverviewContent-module__Box--uNd1J > div.OverviewContent-module__Box_11--Tqhu2 > div > table.Table-module__Box--KyMHK > tbody > tr.DirectoryContent-module__Box_3--zI0N1 > td.bgColor-muted > div.LatestCommit-module__Box--Fimpo > div.d-flex > div.d-flex > a.prc-Button-ButtonBase-9n-Xk > span.prc-Button-ButtonContent-Iohp5 > span.prc-Button-Label-FWkx3 > span.fgColor-default,/html/body/div/div/div/main/turbo-frame/div/div/div/div/div/react-partial/div/div/div/div/table/tbody/tr/td/div/div/div/a/span/span/span,generic_element,S003,0,2,212
31,1767168067227,blur,https://github.com/autopattern/autopattern/commits/main/,link:10_commits,body.logged-in > div.logged-in > div.application-main > div > main > turbo-frame > div.repository-content > div.clearfix > div > div.Layout > div.Layout-main > react-partial.loaded > div > div.OverviewContent-module__Box--uNd1J > div.OverviewContent-module__Box_11--Tqhu2 > div > table.Table-module__Box--KyMHK > tbody > tr.DirectoryContent-module__Box_3--zI0N1 > td.bgColor-muted > div.LatestCommit-module__Box--Fimpo > div.d-flex > div.d-flex > a.prc-Button-ButtonBase-9n-Xk,/html/body/div/div/div/main/turbo-frame/div/div/div/div/div/react-partial/div/div/div/div/table/tbody/tr/td/div/div/div/a,link,S004,1,1,1549
32,1767168080253,visibility_change,https://github.com/autopattern/autopattern/commits/main/,element:unknown,,,generic,S004,0,2,13026
33,1767168172320,focus,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:unknown,body.docs-gm > iframe.docs-texteventtarget-iframe,/html/body/iframe,generic_element,S005,1,1,92067
34,1767168177864,blur,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:unknown,body.docs-gm > iframe.docs-texteventtarget-iframe,/html/body/iframe,generic_element,S005,0,2,5544
35,1767168177869,focus,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:dialog,body.docs-gm > div.docs-material > div.modal-dialog,/html/body/div/div,generic_element,S005,0,3,5
36,1767168180904,blur,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:dialog,body.docs-gm > div.docs-material > div.modal-dialog,/html/body/div/div,generic_element,S005,0,4,3035
37,1767168181168,visibility_change,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,element:unknown,,,generic,S005,0,5,264
38,1767168258555,focus,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:dialog,body.docs-gm > div.docs-material > div.modal-dialog,/html/body/div/div,generic_element,S005,0,6,77387
39,1767168258564,visibility_change,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,element:unknown,,,generic,S005,0,7,9
40,1767168268923,blur,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:dialog,body.docs-gm > div.docs-material > div.modal-dialog,/html/body/div/div,generic_element,S005,0,8,10359
41,1767168268923,focus,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:unknown,body.docs-gm > iframe.docs-texteventtarget-iframe,/html/body/iframe,generic_element,S005,0,9,0
42,1767168269114,click,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:unknown,body.docs-gm > div > div > div.kix-appview > div.kix-appview-editor-container > div.kix-appview-editor > div > div.kix-rotatingtilemanager,/html/body/div/div/div/div/div/div/div,generic_element,S005,0,10,191
43,1767168270134,blur,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,generic_element:unknown,body.docs-gm > iframe.docs-texteventtarget-iframe,/html/body/iframe,generic_element,S005,0,11,1020
44,1767168270135,focus,https://docs.google.com/document/d/1dGhIlJBPhobgJDNk5cl54t5Z02bkKa4IGKPWbba83Zs/edit?tab=t.0,button:ok,body.docs-gm > div.docs-material > div.modal-dialog > div.modal-dialog-buttons > button.goog-buttonset-default,/html/body/div/div/div/button,button,S005,0,12,1
